City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,George Town,MY,5.4112,100.3354,79.9,93,20,3.44,2022-02-07 17:21:48-06:00
1,Cape Town,ZA,-33.9258,18.4232,69.1,91,100,17.27,2022-02-07 17:21:49-06:00
2,Busselton,AU,-33.65,115.3333,60.04,80,7,1.61,2022-02-07 17:21:49-06:00
3,Hobart,AU,-42.8794,147.3294,68.22,62,75,9.22,2022-02-07 17:19:20-06:00
4,Rikitea,PF,-23.1203,-134.9692,78.71,75,73,13.13,2022-02-07 17:21:49-06:00
5,Wuhu,CN,31.3366,118.3755,33.71,100,100,3.15,2022-02-07 17:21:50-06:00
6,Mataura,NZ,-46.1927,168.8643,59.49,42,2,2.55,2022-02-07 17:21:50-06:00
7,Tarko-Sale,RU,64.9225,77.785,-17.25,99,55,10.02,2022-02-07 17:21:50-06:00
8,Yumen,CN,40.2833,97.2,17.28,73,17,10.29,2022-02-07 17:21:51-06:00
9,Ghātanji,IN,20.1333,78.3167,68.83,39,8,1.99,2022-02-07 17:21:51-06:00
10,Rocha,UY,-34.4833,-54.3333,63.93,76,34,10.74,2022-02-07 17:21:51-06:00
11,Bengkulu,ID,-3.8004,102.2655,73.8,87,92,5.66,2022-02-07 17:21:52-06:00
12,Atuona,PF,-9.8,-139.0333,77.79,78,4,15.97,2022-02-07 17:21:52-06:00
13,Fort Nelson,CA,58.8053,-122.7002,9.99,92,100,13.8,2022-02-07 17:21:52-06:00
14,Tuatapere,NZ,-46.1333,167.6833,59.83,45,0,5.1,2022-02-07 17:21:53-06:00
15,Cardston,CA,49.2,-113.3019,47.88,27,27,17.27,2022-02-07 17:21:53-06:00
16,Shambu,ET,9.5667,37.1,57.02,46,99,2.46,2022-02-07 17:21:53-06:00
17,New Norfolk,AU,-42.7826,147.0587,67.87,52,15,3.0,2022-02-07 17:21:54-06:00
18,Luganville,VU,-15.5333,167.1667,81.41,86,100,17.07,2022-02-07 17:21:54-06:00
19,Bluff,NZ,-46.6,168.3333,59.81,72,49,9.84,2022-02-07 17:21:54-06:00
20,Camacha,PT,33.0833,-16.3333,59.76,72,40,12.66,2022-02-07 17:21:55-06:00
21,San Ramon,US,37.7799,-121.978,69.93,44,0,9.22,2022-02-07 17:21:55-06:00
22,Punta Arenas,CL,-53.15,-70.9167,53.71,87,100,8.05,2022-02-07 17:21:55-06:00
23,Scottsbluff,US,41.8666,-103.6672,55.63,26,0,17.27,2022-02-07 17:21:56-06:00
24,Qaanaaq,GL,77.484,-69.3632,-3.8,58,100,6.64,2022-02-07 17:21:56-06:00
25,Mahébourg,MU,-20.4081,57.7,77.29,83,75,3.44,2022-02-07 17:21:56-06:00
26,Sitka,US,57.0531,-135.33,40.89,75,100,8.05,2022-02-07 17:20:03-06:00
27,Moville,US,42.4889,-96.0725,56.84,47,4,1.48,2022-02-07 17:21:57-06:00
28,Upernavik,GL,72.7868,-56.1549,-8.34,93,100,12.91,2022-02-07 17:21:57-06:00
29,Arrondissement de Pontivy,FR,48.0,-3.0,48.24,93,89,4.59,2022-02-07 17:21:57-06:00
30,Bredasdorp,ZA,-34.5322,20.0403,63.72,88,6,3.44,2022-02-07 17:21:57-06:00
31,Kapaa,US,22.0752,-159.319,79.12,69,40,13.8,2022-02-07 17:21:58-06:00
32,Chokurdakh,RU,70.6333,147.9167,-46.01,100,96,4.88,2022-02-07 17:21:58-06:00
33,Avarua,CK,-21.2078,-159.775,77.05,88,75,12.66,2022-02-07 17:18:49-06:00
34,Saskylakh,RU,71.9167,114.0833,-27.44,100,47,5.93,2022-02-07 17:21:59-06:00
35,Tura,IN,25.5198,90.2201,52.03,69,0,2.04,2022-02-07 17:21:59-06:00
36,Kruisfontein,ZA,-34.0033,24.7314,68.5,54,69,2.62,2022-02-07 17:21:59-06:00
37,Hithadhoo,MV,-0.6,73.0833,82.29,67,93,15.05,2022-02-07 17:22:00-06:00
38,Isangel,VU,-19.55,169.2667,86.11,79,100,10.36,2022-02-07 17:22:00-06:00
39,Tocopilla,CL,-22.092,-70.1979,71.31,65,21,10.36,2022-02-07 17:22:00-06:00
40,Taltal,CL,-25.4,-70.4833,68.74,71,22,5.66,2022-02-07 17:22:01-06:00
41,Necochea,AR,-38.5473,-58.7368,62.04,73,0,7.56,2022-02-07 17:22:01-06:00
42,Kayes,ML,14.0,-11.0,80.28,8,2,7.2,2022-02-07 17:22:01-06:00
43,Trelew,AR,-43.249,-65.3051,91.6,14,0,18.34,2022-02-07 17:22:01-06:00
44,Esperance,AU,-33.8667,121.9,65.08,59,100,15.7,2022-02-07 17:22:02-06:00
45,Jamestown,US,42.097,-79.2353,37.04,34,0,6.91,2022-02-07 17:19:03-06:00
46,Praia,CV,14.9215,-23.5087,68.54,83,20,11.5,2022-02-07 17:22:02-06:00
47,Ponta do Sol,PT,32.6667,-17.1,63.23,70,19,8.43,2022-02-07 17:22:03-06:00
48,Hilo,US,19.7297,-155.09,74.25,91,13,1.99,2022-02-07 17:20:54-06:00
49,Abhā,SA,18.2164,42.5053,51.62,66,0,0.0,2022-02-07 17:22:03-06:00
50,Cuenca,EC,-2.8833,-78.9833,62.73,59,100,4.61,2022-02-07 17:17:26-06:00
51,Artigas,UY,-30.4,-56.4667,75.61,37,0,7.11,2022-02-07 17:22:03-06:00
52,Cherskiy,RU,68.75,161.3,-35.64,100,32,2.35,2022-02-07 17:22:04-06:00
53,Vaini,TO,-21.2,-175.2,77.16,100,100,9.22,2022-02-07 17:22:04-06:00
54,Alekseyevka,RU,50.6309,38.6903,34.23,100,100,10.25,2022-02-07 17:22:04-06:00
55,Broome,US,42.2506,-75.833,35.98,75,0,3.44,2022-02-07 17:22:05-06:00
56,Karpinsk,RU,59.7654,60.0085,-6.02,100,100,4.25,2022-02-07 17:18:05-06:00
57,Cairns,AU,-16.9167,145.7667,85.1,71,40,8.05,2022-02-07 17:20:05-06:00
58,Vikulovo,RU,56.8167,70.6107,-4.05,97,21,6.6,2022-02-07 17:22:06-06:00
59,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,75,3.44,2022-02-07 17:22:06-06:00
60,College,US,64.8569,-147.8028,-0.45,75,75,6.91,2022-02-07 17:22:06-06:00
61,Hermanus,ZA,-34.4187,19.2345,62.91,89,15,5.55,2022-02-07 17:22:07-06:00
62,Airai,TL,-8.9266,125.4092,64.8,84,86,0.72,2022-02-07 17:22:07-06:00
63,Lagoa,PT,39.05,-27.9833,59.11,70,65,9.98,2022-02-07 17:22:07-06:00
64,Ushuaia,AR,-54.8,-68.3,62.26,59,40,5.75,2022-02-07 17:21:33-06:00
65,Portland,US,45.5234,-122.6762,56.03,80,40,5.75,2022-02-07 17:17:17-06:00
66,Olinda,BR,-8.0089,-34.8553,82.13,69,20,8.05,2022-02-07 17:22:08-06:00
67,Thompson,CA,55.7435,-97.8558,19.56,79,75,3.44,2022-02-07 17:22:08-06:00
68,San-Pédro,CI,4.7485,-6.6363,78.75,87,76,5.53,2022-02-07 17:22:08-06:00
69,Svetlaya,RU,46.5389,138.3297,7.39,72,2,8.95,2022-02-07 17:22:09-06:00
70,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,100,11.97,2022-02-07 17:22:09-06:00
71,Provideniya,RU,64.3833,-173.3,-5.69,59,0,15.66,2022-02-07 17:22:10-06:00
72,De-Kastri,RU,51.4667,140.7833,3.22,92,100,10.74,2022-02-07 17:22:10-06:00
73,Yellowknife,CA,62.456,-114.3525,-0.58,90,75,17.27,2022-02-07 17:22:10-06:00
74,Zhangye,CN,38.9342,100.4517,17.26,63,99,1.25,2022-02-07 17:22:11-06:00
75,Okhotsk,RU,59.3833,143.3,3.81,80,100,6.98,2022-02-07 17:22:11-06:00
76,Jérémie,HT,18.65,-74.1167,76.33,78,43,0.87,2022-02-07 17:22:11-06:00
77,Mar del Plata,AR,-38.0023,-57.5575,66.09,78,40,8.99,2022-02-07 17:18:40-06:00
78,Mount Gambier,AU,-37.8333,140.7667,78.06,27,6,11.12,2022-02-07 17:22:12-06:00
79,Prince Rupert,CA,54.3161,-130.3201,44.69,81,75,8.05,2022-02-07 17:22:12-06:00
80,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,73.51,98,100,2.71,2022-02-07 17:22:13-06:00
81,Caravelas,BR,-17.7125,-39.2481,78.08,83,43,7.11,2022-02-07 17:22:13-06:00
82,Severo-Kuril'sk,RU,50.6789,156.125,30.4,86,80,5.82,2022-02-07 17:15:40-06:00
83,Saint Paul Harbor,US,57.79,-152.4072,35.11,80,100,12.66,2022-02-07 17:19:39-06:00
84,Puerto Madero,MX,14.7208,-92.4215,84.4,94,40,11.5,2022-02-07 17:22:13-06:00
85,Vaitape,PF,-16.5167,-151.75,81.5,77,100,20.67,2022-02-07 17:22:14-06:00
86,Suslovo,RU,56.2167,88.1167,-10.1,100,100,1.83,2022-02-07 17:22:14-06:00
87,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,8.05,2022-02-07 17:22:14-06:00
88,Castro,BR,-24.7911,-50.0119,66.16,60,0,1.81,2022-02-07 17:22:15-06:00
89,Algiers,DZ,36.7525,3.042,40.82,93,20,2.3,2022-02-07 17:22:15-06:00
90,Norman Wells,CA,65.282,-126.8329,-18.36,63,75,16.11,2022-02-07 17:22:15-06:00
91,Sorong,ID,-0.8833,131.25,79.77,81,32,3.0,2022-02-07 17:22:16-06:00
92,Port-Cartier,CA,50.0334,-66.8654,14.76,96,100,4.23,2022-02-07 17:22:16-06:00
93,Barrow,US,71.2906,-156.7887,-25.58,68,0,9.22,2022-02-07 17:22:16-06:00
94,Matagami,CA,49.7502,-77.6328,12.31,85,100,4.61,2022-02-07 17:21:58-06:00
95,Zhigansk,RU,66.7697,123.3711,-30.46,97,96,11.16,2022-02-07 17:22:17-06:00
96,Port Alfred,ZA,-33.5906,26.891,72.27,91,20,5.57,2022-02-07 17:22:17-06:00
97,Talnakh,RU,69.4865,88.3972,-20.29,98,60,8.84,2022-02-07 17:22:17-06:00
98,Sawtell,AU,-30.3833,153.1,74.19,60,62,13.8,2022-02-07 17:22:18-06:00
99,Longkou,CN,37.6508,120.3286,32.27,56,51,6.2,2022-02-07 17:22:18-06:00
100,Pangnirtung,CA,66.1451,-65.7125,-20.2,76,75,2.3,2022-02-07 17:22:18-06:00
101,Khatanga,RU,71.9667,102.5,-17.21,96,100,10.18,2022-02-07 17:22:19-06:00
102,Tasiilaq,GL,65.6145,-37.6368,23.16,52,100,18.66,2022-02-07 17:22:19-06:00
103,Labuhan,ID,-6.8844,112.2051,77.9,86,100,6.24,2022-02-07 17:22:19-06:00
104,Oliver,CA,49.1831,-119.5524,53.24,70,2,9.22,2022-02-07 17:22:20-06:00
105,Sørland,NO,67.667,12.6934,37.0,70,100,20.92,2022-02-07 17:22:20-06:00
106,Lebu,CL,-37.6167,-73.65,62.11,82,3,14.63,2022-02-07 17:22:20-06:00
107,Carnarvon,AU,-24.8667,113.6333,70.72,55,5,21.23,2022-02-07 17:22:21-06:00
108,Songyang,CN,34.4553,113.0281,30.6,70,52,3.0,2022-02-07 17:22:21-06:00
109,Puerto Ayora,EC,-0.7393,-90.3518,75.94,68,3,7.94,2022-02-07 17:22:21-06:00
110,Elbistan,TR,38.2059,37.1983,19.24,94,98,0.81,2022-02-07 17:22:22-06:00
111,Kaitangata,NZ,-46.2817,169.8464,59.94,72,24,5.64,2022-02-07 17:22:22-06:00
112,Watertown,US,42.3709,-71.1828,40.87,93,100,6.91,2022-02-07 17:22:23-06:00
113,Partenit,UA,44.578,34.3446,45.21,91,100,5.68,2022-02-07 17:22:23-06:00
114,Olafsvik,IS,64.8945,-23.7142,31.78,85,100,37.96,2022-02-07 17:22:23-06:00
115,Bethel,US,41.3712,-73.414,37.49,91,100,0.0,2022-02-07 17:22:24-06:00
116,São João da Barra,BR,-21.6403,-41.0511,77.25,87,96,9.69,2022-02-07 17:22:24-06:00
117,Zalesovo,RU,53.9939,84.7431,-8.34,100,77,2.55,2022-02-07 17:22:24-06:00
118,Iqaluit,CA,63.7506,-68.5145,-7.87,59,100,6.91,2022-02-07 17:22:25-06:00
119,Malanje,AO,-9.5402,16.341,62.65,82,97,2.39,2022-02-07 17:22:25-06:00
120,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,6.91,2022-02-07 17:18:44-06:00
121,Kiknur,RU,57.3034,47.2011,2.68,100,98,5.91,2022-02-07 17:22:25-06:00
122,Lucapa,AO,-8.4192,20.7447,65.21,96,100,2.39,2022-02-07 17:22:26-06:00
123,Quang Ngai,VN,15.1167,108.8,69.85,93,44,3.15,2022-02-07 17:22:26-06:00
124,Golden Gate,US,26.1879,-81.6951,73.47,70,0,6.91,2022-02-07 17:22:26-06:00
125,Albany,US,42.6001,-73.9662,35.67,89,100,0.31,2022-02-07 17:19:10-06:00
126,Adeje,ES,28.1227,-16.726,68.97,61,0,4.61,2022-02-07 17:22:27-06:00
127,Viedma,AR,-40.8135,-62.9967,72.3,47,0,18.72,2022-02-07 17:22:27-06:00
128,Zyryanka,RU,65.75,150.85,-45.65,100,64,3.13,2022-02-07 17:22:27-06:00
129,Dikson,RU,73.5069,80.5464,4.14,90,100,26.87,2022-02-07 17:22:28-06:00
130,San Patricio,US,28.017,-97.5169,66.29,37,1,12.95,2022-02-07 17:22:28-06:00
131,Nikolskoye,RU,59.7035,30.7861,35.87,99,100,2.62,2022-02-07 17:22:28-06:00
132,Capinópolis,BR,-18.6819,-49.5697,71.33,95,99,3.65,2022-02-07 17:22:29-06:00
133,Grand-Lahou,CI,5.1367,-5.0242,79.09,85,42,9.42,2022-02-07 17:22:29-06:00
134,Lorengau,PG,-2.0226,147.2712,83.95,76,95,7.99,2022-02-07 17:22:29-06:00
135,Batagay-Alyta,RU,67.8006,130.4114,-30.28,95,96,4.72,2022-02-07 17:22:30-06:00
136,Makaha,US,21.4694,-158.2175,82.31,60,75,11.5,2022-02-07 17:22:30-06:00
137,São Filipe,CV,14.8961,-24.4956,72.45,77,0,2.44,2022-02-07 17:22:30-06:00
138,Port Lincoln,AU,-34.7333,135.8667,78.35,45,97,16.87,2022-02-07 17:22:30-06:00
139,Narón,ES,43.5167,-8.1528,54.59,90,24,5.73,2022-02-07 17:22:31-06:00
